idAnime,name,type,episodes,status,idStudios,studios,idGenres,genres,score,idRanking,ranked
114219,Aggressive Retsuko (ONA) 2nd Season,ONA,10,Finished Airing,abc1139,Fanworks,D205,[],7.73,104838,#1149
114330,Toshokan Sensou: Kakumei no Tsubasa,Movie,1,Finished Airing,abc1140,Production I.G,D206,"['Action', 'Comedy', 'Romance']",7.73,104939,#1148
114441,Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,3,Finished Airing,abc1141,Sunrise,D207,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",7.73,105040,#1146
114552,Tentai Senshi Sunred,TV,26,Finished Airing,abc1142,AIC ASTA,D208,[],7.74,105141,#1144
114663,Shokugeki no Souma: Shin no Sara,TV,12,Finished Airing,abc1143,J.C.Staff,D209,"['Gourmet', 'Ecchi']",7.74,105242,#1143
114774,Shaman King,TV,64,Finished Airing,abc1144,Xebec,D210,"['Action', 'Adventure', 'Supernatural']",7.74,105343,#1142
114885,Master Keaton OVA,OVA,15,Finished Airing,abc1145,Madhouse,D211,"['Adventure', 'Drama', 'Mystery']",7.74,105444,#1141
114996,Mairimashita! Iruma-kun,TV,23,Finished Airing,abc1146,Bandai Namco Pictures,D212,"['Comedy', 'Fantasy']",7.74,105545,#1140
115107,Kuroko no Basket: Last Game NG-shuu,Special,1,Finished Airing,abc1147,Production I.G,D213,"['Comedy', 'Sports']",7.74,105646,#1137
115218,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,Movie,1,Finished Airing,abc1148,Production I.G,D214,[],7.74,105747,#1136
115329,Kokoro Connect,TV,13,Finished Airing,abc1149,SILVER LINK.,D215,"['Drama', 'Romance', 'Supernatural']",7.74,105848,#1135
115440,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,Movie,1,Finished Airing,abc1150,A.C.G.T.,D216,"['Adventure', 'Drama', 'Fantasy']",7.74,105949,#1134
115551,Kidou Senshi Gundam SEED,TV,50,Finished Airing,abc1151,Sunrise,D217,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",7.74,106050,#1133
115662,InuYasha: Kuroi Tessaiga,Special,1,Finished Airing,abc1152,Sunrise,D218,"['Action', 'Adventure', 'Fantasy', 'Romance']",7.74,106151,#1132
115773,Higashi no Eden,TV,11,Finished Airing,abc1153,Production I.G,D219,"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",7.74,106252,#1130
115884,Hibike! Euphonium: Ensemble Contest-hen,Movie,1,Finished Airing,abc1154,Kyoto Animation,D220,[],7.74,106353,#1129
115995,Gundam Build Fighters,TV,25,Finished Airing,abc1155,Sunrise,D221,"['Action', 'Sci-Fi']",7.74,106454,#1128
116106,Gakkou no Kaidan,TV,19,Finished Airing,abc1156,Pierrot,D222,"['Horror', 'Mystery', 'Supernatural']",7.74,106555,#1126
116217,Free! Movie 4: The Final Stroke - Zenpen,Movie,1,Finished Airing,abc1157,Kyoto Animation,D223,[],7.74,106656,#1125
116328,Fanren Xiu Xian Chuan 3rd Season,ONA,48,Currently Airing,abc1158,Original Force,D224,"['Action', 'Adventure', 'Fantasy']",7.74,106757,#1124
116439,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11,Finished Airing,abc1159,J.C.Staff,D225,"['Action', 'Adventure', 'Fantasy']",7.74,106858,#1123
116550,BanG Dream! Garupa☆Pico,ONA,26,Finished Airing,abc1160,SANZIGEN,D226,[],7.74,106959,#1120
116661,Hibike! Euphonium Movie 3: Chikai no Finale,Movie,1,Finished Airing,abc1161,Kyoto Animation,D227,[],7.75,107060,#1119
116772,Change!! Getter Robo: Sekai Saigo no Hi,OVA,13,Finished Airing,abc1162,Brain's Base,D228,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",7.74,107161,#1122
116883,Ghost Hunt,TV,25,Finished Airing,abc1163,J.C.Staff,D229,"['Horror', 'Mystery', 'Supernatural']",7.75,107262,#1117
116994,Genshiken 2,TV,12,Finished Airing,abc1164,Arms,D230,[],7.75,107363,#1116
117105,Free! Take Your Marks,Movie,1,Finished Airing,abc1165,Kyoto Animation,D231,[],7.75,107464,#1114
117216,Dragon Ball Kai,TV,97,Finished Airing,abc1166,Toei Animation,D232,"['Action', 'Adventure', 'Comedy', 'Fantasy']",7.75,107565,#1112
117327,Devilman: Crybaby,ONA,10,Finished Airing,abc1167,Science SARU,D233,"['Action', 'Avant Garde', 'Horror', 'Supernatural']",7.75,107666,#1111
117438,City Hunter '91,TV,13,Finished Airing,abc1168,Sunrise,D234,"['Action', 'Comedy', 'Mystery']",7.75,107767,#1109
117549,Boku no Kokoro no Yabai Yatsu: Twi-Yaba,ONA,1,Finished Airing,abc1169,Shin-Ei Animation,D235,"['Comedy', 'Romance']",7.73,107868,#1154
117660,Hataraku Maou-sama!,TV,13,Finished Airing,abc1170,White Fox,D236,"['Comedy', 'Fantasy']",7.73,107969,#1159
117771,Fate/Grand Carnival,OVA,4,Finished Airing,abc1171,Lerche,D237,"['Comedy', 'Fantasy', 'Supernatural']",7.75,108070,#1113
117882,Isekai no Seikishi Monogatari,OVA,13,Finished Airing,abc1172,AIC Spirits,D238,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",7.73,108171,#1160
117993,Kyou kara Maou! 3rd Series,TV,39,Finished Airing,abc1173,Studio Deen,D239,"['Adventure', 'Comedy', 'Fantasy']",7.73,108272,#1163
118104,Pokemon: The Origin,TV Special,4,Finished Airing,abc1174,Production I.G,D240,"['Action', 'Adventure', 'Comedy', 'Fantasy']",7.73,108373,#1167
118215,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,1,Finished Airing,abc1175,Kyoto Animation,D241,"['Action', 'Fantasy']",7.72,108474,#1170
118326,Mujin Wakusei Survive,TV,52,Finished Airing,abc1176,Madhouse,D242,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Slice of Life']",7.72,108575,#1173
118437,Sidonia no Kishi: Daikyuu Wakusei Seneki,TV,12,Finished Airing,abc1177,Polygon Pictures,D243,"['Action', 'Sci-Fi']",7.72,108676,#1177
118548,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Movie,1,Finished Airing,abc1178,Xebec,D244,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",7.72,108777,#1182
118659,Aikatsu! 10th Story: Mirai e no Starway (2023),Movie,1,Finished Airing,abc1179,Bandai Namco Pictures,D245,[],7.72,108878,#1186
118770,Fanren Xiu Xian Chuan,ONA,17,Finished Airing,abc1180,Original Force,D246,"['Action', 'Adventure', 'Fantasy']",7.72,108979,#1191
